num,question,answer,filename,
21,"我們可藉由觀察何骨，得知一身骨之大小？
(A)額骨 (B)眉棱骨 (C)顴骨 (D)頰車骨
代號：2106
頁次：8－3",C,100-中醫基礎醫學（一）（包括中醫醫學史、中醫基礎理論、內經、難經）.csv,
22,"下列何病位所生之「癰疽」其預後較佳？
(A)項 (B)脇 (C)伏兔 (D)腨",B,100-中醫基礎醫學（一）（包括中醫醫學史、中醫基礎理論、內經、難經）.csv,
23,"小美洗頭後頭髮未乾便吹到風，之後開始產生不適症狀，經中醫師診斷為「首風」，下列相關敘述
何者錯誤？
(A)症狀表現有：頭面多汗，惡風
(B)症狀表現有：頭痛
(C)病機為風氣循風府而上，入係頭，故亦覺眼寒
(D)在天氣將颳風的前一天，頭痛明顯且劇烈；但至颳風的那一天，頭痛則症減",C,100-中醫基礎醫學（一）（包括中醫醫學史、中醫基礎理論、內經、難經）.csv,
24,"一群好朋友至野外烤肉露營，胖虎突然變得怕人、怕火，而且還脫掉身上衣物，高聲唱歌且謾罵他
人，則胖虎最可能的病位，下列何者正確？
(A)足太陽經 (B)足陽明經 (C)足少陽經 (D)手少陰經",B,100-中醫基礎醫學（一）（包括中醫醫學史、中醫基礎理論、內經、難經）.csv,
25,"關於「心系」的敘述，下列何者錯誤？
(A)「心系」與「目系」間有手少陰之支脈聯繫
(B)人在憂思時會不時深呼吸伸展其氣，是因憂思時心系急，急則氣道約，約則不利
(C)人在悲傷時之所以會有淚出，是因為心系急則肺舉
(D)心系急易致胃氣不降，故嘔",D,100-中醫基礎醫學（一）（包括中醫醫學史、中醫基礎理論、內經、難經）.csv,
26,"下列中醫解剖名詞，何者是現代醫學解剖所稱之「顳骨乳突」（mastoid process of temporal bone）？
(A)鬢骨 (B)曲頰骨 (C)完骨 (D)顴骨",C,100-中醫基礎醫學（一）（包括中醫醫學史、中醫基礎理論、內經、難經）.csv,
27,"關於古代「宦官」的生理特性，下列何者錯誤？
(A)宗筋已去 (B)衝脈血去不復
(C)血不營脣口，故鬚不生 (D)不起性慾",D,100-中醫基礎醫學（一）（包括中醫醫學史、中醫基礎理論、內經、難經）.csv,
28,"關於「營」、「衛」之論述，下列何者錯誤？
(A)穀入於胃，以傳於肺，五藏六府，皆以受之。其清者為營，濁者為衛
(B)營在脈中，衛在脈外；營周不休，五十而復大會
(C)少壯之氣血盛，五藏之氣相搏，故晝精而夜瞑
(D)老者之氣血衰，其肌肉枯，故晝不精，夜不瞑",C,100-中醫基礎醫學（一）（包括中醫醫學史、中醫基礎理論、內經、難經）.csv,
29,"有關營氣循行交接部位，下列何者正確？
(A)從肝上注肺後，上循喉嚨，入於頏顙之竅，止於目系
(B)從督脈後，絡陰器，上過毛中，入臍中，散於胸中
(C)上循腹裡，入缺盆之後，下注心，復出太陰經
(D)營氣上額循巔，下項中，循脊入骶",D,100-中醫基礎醫學（一）（包括中醫醫學史、中醫基礎理論、內經、難經）.csv,
30,"根據《靈樞．經脈》之經脈循行，患者主訴目乾痛，應先考慮是那一條經脈的病變？
(A)肺經 (B)脾經 (C)肝經 (D)腎經",C,100-中醫基礎醫學（一）（包括中醫醫學史、中醫基礎理論、內經、難經）.csv,
31,"進食後，食物經過胃之消化，依《靈樞．經脈》，是那一條經脈之別支將營氣運送至心？
(A)胃經 (B)脾經 (C)肝經 (D)心經",B,100-中醫基礎醫學（一）（包括中醫醫學史、中醫基礎理論、內經、難經）.csv,
32,"根據《靈樞．經脈》，手太陰之別，起於腕上，直入掌中，散入於魚際，名稱為何？
(A)列缺 (B)通里 (C)內關 (D)支正
代號：2106
頁次：8－4",A,100-中醫基礎醫學（一）（包括中醫醫學史、中醫基礎理論、內經、難經）.csv,
33,"依《靈樞．經脈》，根據經脈循行，患者主訴下齒痛，應用那一條經脈上之穴位治療最合適？
(A)胃經 (B)膽經 (C)大腸經 (D)三焦經",C,100-中醫基礎醫學（一）（包括中醫醫學史、中醫基礎理論、內經、難經）.csv,
34,"阿華於右眼目銳眥處長了針眼，依據經脈循行，應與那條經脈無關？
(A)三焦經 (B)膽經 (C)小腸經 (D)膀胱經",D,100-中醫基礎醫學（一）（包括中醫醫學史、中醫基礎理論、內經、難經）.csv,
35,"小明腰扭傷，若以針刺委中處理，依《靈樞．經筋論》，是影響那一條經筋？
(A)足太陽膀胱經 (B)足少陽膽經 (C)足陽明胃經 (D)足厥陰肝經",A,100-中醫基礎醫學（一）（包括中醫醫學史、中醫基礎理論、內經、難經）.csv,
36,"依據《難經》所述，奇經八脈之疾病中，腹滿，腰溶溶若坐水中，是那一條經脈之疾病？
(A)任脈 (B)督脈 (C)衝脈 (D)帶脈",D,100-中醫基礎醫學（一）（包括中醫醫學史、中醫基礎理論、內經、難經）.csv,
37,"依《靈樞．經脈》，經脈因為伏行於分肉之間，深而不見，常無法判斷其虛實，所以應從氣口了解
其虛實，所指氣口為何？
(A)鼻子 (B)寸口 (C)穴位 (D)喉嚨",B,100-中醫基礎醫學（一）（包括中醫醫學史、中醫基礎理論、內經、難經）.csv,
38,"關於奇經八脈之敘述，下列何者錯誤？
(A)任脈為陰脈之海 (B)衝脈為陽脈之海
(C)任脈及衝脈對女子之月經生理密切相關 (D)衝脈，起於氣街，挾臍上行至胸中而散",B,100-中醫基礎醫學（一）（包括中醫醫學史、中醫基礎理論、內經、難經）.csv,
39,"一位38歲女性患者，婚後不孕，體瘦，語聲低微，倦怠無力感。今感覺腰部酸冷感，站立則酸痛重
感覺比較嚴重，舌淡紅苔薄，脈細無力。以經絡理論分析，以下列何經治療最合適？
(A)帶脈 (B)陽維脈 (C)任脈 (D)陰維脈",A,100-中醫基礎醫學（一）（包括中醫醫學史、中醫基礎理論、內經、難經）.csv,
40,"根據經脈循行，那一條經脈循行至心？
(A)肝經 (B)胃經 (C)大腸經 (D)腎經",D,100-中醫基礎醫學（一）（包括中醫醫學史、中醫基礎理論、內經、難經）.csv,
41,"有關膽經循行之敘述，下列何者正確？
(A)膽經有一支脈別跗上，入三毛，出爪甲端 (B)膽經循行在頸部循足太陽之前
(C)膽經循行在肩部循手少陽之前 (D)膽經有一支脈從耳前入耳中，出耳後",B,100-中醫基礎醫學（一）（包括中醫醫學史、中醫基礎理論、內經、難經）.csv,
42,"有關任脈的循行及其功能特點敘述，下列何者正確？
(A)起於毛際，循腹裏 (B)貫臍中央，上貫肺入咽
(C)上頤入齒，上目系 (D)女子帶下病與任脈相關",D,100-中醫基礎醫學（一）（包括中醫醫學史、中醫基礎理論、內經、難經）.csv,
43,"有關胃經循行之敘述，下列何者正確？
(A)胃經循行，從人迎前下大迎，循喉嚨，入缺盆
(B)胃經循行，從缺盆入乳外廉，下挾臍
(C)胃經有一分支，從胃口，下循腹裏，下至氣街中而合
(D)胃經循行，下循脛外廉，下足跗，入中趾尖",C,100-中醫基礎醫學（一）（包括中醫醫學史、中醫基礎理論、內經、難經）.csv,
44,"《素問．痹論》所述「痛痹」之病機與寒邪的那個特性有關？
(A)寒性凝滯 (B)寒主收引 (C)寒性重濁 (D)寒為陰邪，易傷陽氣",A,100-中醫基礎醫學（一）（包括中醫醫學史、中醫基礎理論、內經、難經）.csv,
45,"關於「痛甚不可按」與「按之痛止」之病因病機論述，下列何者錯誤？
(A)兩者最主要的病因病機都是因為「寒氣客於脈絡」
(B)寒氣客於脈外則血少，客於脈中則氣不通，故卒然而痛
(C)當脈中寒氣與炅氣相薄則出現經脈滿盛的狀態
(D)當寒氣與炅氣相薄，按之血氣散後則痛止
代號：2106
頁次：8－5",D,100-中醫基礎醫學（一）（包括中醫醫學史、中醫基礎理論、內經、難經）.csv,
46,"下列何者是造成《素問．生氣通天論》所論「薄厥」的病機？
(A)氣虛 (B)氣鬱 (C)氣逆 (D)氣陷",C,100-中醫基礎醫學（一）（包括中醫醫學史、中醫基礎理論、內經、難經）.csv,
47,"據《素問．五臟生成篇》所論，多食甘，有可能發生下列何病證？
(A)骨痛而髮落 (B)肉胝而唇揭 (C)筋急而爪枯 (D)皮槁而毛拔",A,100-中醫基礎醫學（一）（包括中醫醫學史、中醫基礎理論、內經、難經）.csv,
48,"據《素問．舉痛論》所論，下列何項病因會造成「心無所倚，神無所歸，慮無所定，故氣亂矣」？
(A)悲 (B)喜 (C)炅 (D)驚",D,100-中醫基礎醫學（一）（包括中醫醫學史、中醫基礎理論、內經、難經）.csv,
49,"關於「漏泄」之病因、病機及其症狀表現，下列何者錯誤？
(A)人有熱飲食下胃，其氣未定，汗則出
(B)汗循衛氣之道而出，汗或出於面，或出於背，或出於身半
(C)此因外傷於風所致
(D)此因衛氣慓悍滑疾，見開而出所致",B,100-中醫基礎醫學（一）（包括中醫醫學史、中醫基礎理論、內經、難經）.csv,
50,"關於「陰陽交」的實際病例，下列何者錯誤？
(A)患者會反覆發燒，汗出後體溫便下降
(B)患者會出現心律過速的症狀
(C)在診察過程中，患者對醫師的說話態度可能不很平和
(D)是會致命的急重症",A,100-中醫基礎醫學（一）（包括中醫醫學史、中醫基礎理論、內經、難經）.csv,
51,"關於「濕邪」對人體的影響，下列何者錯誤？
(A)濕為陰邪，重濁有質 (B)濕蒸於上，則頭脹如蒙
(C)濕在經絡，則麻木浮腫 (D)濕在臟腑，則嘔惡腫脹",C,100-中醫基礎醫學（一）（包括中醫醫學史、中醫基礎理論、內經、難經）.csv,
52,"關於「霍亂」之病因病機論述，下列何者錯誤？
(A)霍亂多發於夏秋之交，因起居冷熱不調，飲食生冷失節所致
(B)邪在上焦則吐，邪在下焦則利，在中焦則吐利交作，謂之「濕霍亂」
(C)若欲吐不吐，欲瀉不瀉，即為「乾霍亂」
(D)症可伴見憎寒壯熱而腹不痛，甚則轉筋",D,100-中醫基礎醫學（一）（包括中醫醫學史、中醫基礎理論、內經、難經）.csv,
53,"張子和治一病患，其症狀為「心痛，日增不已，月餘成塊，狀若覆杯，大痛不任，藥皆無功」，張
子和學巫者，雜以狂言，以謔病者，至是大笑，一二日，心下結硬乃散。此患者之病因以下列何者
最有可能？
(A)大喜 (B)大怒 (C)大悲 (D)大驚",C,100-中醫基礎醫學（一）（包括中醫醫學史、中醫基礎理論、內經、難經）.csv,
54,"導致心臟陽氣偏衰的常見病機，下列何者錯誤？
(A)宗氣不足 (B)脾虛氣弱 (C)血瘀氣滯 (D)衛氣鬱滯",D,100-中醫基礎醫學（一）（包括中醫醫學史、中醫基礎理論、內經、難經）.csv,
55,"下列有關形成「陽勝」的病機敘述，正確的有幾項？①感受陰邪，入裏化熱 ②過食生冷，陰寒內
盛，抑遏機體陽氣 ③血瘀、食積等鬱而化熱 ④情志內傷，五志過極而化火
(A)1 (B)2 (C)3 (D)4",C,100-中醫基礎醫學（一）（包括中醫醫學史、中醫基礎理論、內經、難經）.csv,
56,"下列有幾項是常見症狀「急躁易怒」的可能病機？①肝鬱氣滯，氣鬱化火 ②肝之陽氣升動太過
③肝血不足，心神失養 ④肝陰不足，陰不制陽
(A)4 (B)3 (C)2 (D)1
代號：2106
頁次：8－6",B,100-中醫基礎醫學（一）（包括中醫醫學史、中醫基礎理論、內經、難經）.csv,
57,"若患者表現熱重而毒陷肌膚筋骨，影響臟腑，筋骨好肉腐爛無餘，依《靈樞．癰疽篇》所記載，下
列何者正確？
(A)病位的皮膚會皮薄光亮 (B)病患產生癰
(C)會出現膚色枯暗，堅如牛頸項的皮 (D)不會影響骨髓",C,100-中醫基礎醫學（一）（包括中醫醫學史、中醫基礎理論、內經、難經）.csv,
58,"對於脹的症狀表現，依《靈樞．脹論》所描述，若病人出現腹滿的症狀，要考慮下列何問題？
(A)心脹與肝脹 (B)胃脹與腎脹 (C)脾脹與胃脹 (D)大腸脹與脾脹",B,100-中醫基礎醫學（一）（包括中醫醫學史、中醫基礎理論、內經、難經）.csv,
59,"有關藥食之氣味厚薄與陰陽之關係，下列何者正確？
(A)陰味出中焦，陽氣出上竅 (B)味厚者為陰，薄為陽之陰
(C)氣厚者為陽，薄為陽之陽 (D)氣薄則發泄，厚則發熱",D,100-中醫基礎醫學（一）（包括中醫醫學史、中醫基礎理論、內經、難經）.csv,
60,"若病人產生瘍症與感覺異常的表現，依《素問．風論篇》所記載的病機變化，下列何者正確？
(A)風氣由太陽經入，與衛氣相干，脈道不利，產生瘍症
(B)風氣由少陽經入，與衛氣相干，脈道不利，產生瘍症
(C)營血不足，產生感覺異常的表現
(D)風氣由陽明經入，與衛氣相干，脈道不利，產生瘍症",A,100-中醫基礎醫學（一）（包括中醫醫學史、中醫基礎理論、內經、難經）.csv,
61,"依《素問．生氣通天論》所描述，人當汗出與受到不同外邪侵犯時，會有下列何種病理表現？
(A)若汗出後受到熱邪侵犯，會產生小癤或汗疹
(B)若汗出後受到風邪侵犯，會容易產生大的疔腫
(C)若汗出後受到火邪侵犯，鬱結不解，會容易產生小癤子
(D)若汗出偏左或偏右，則無汗的半邊，會使人發生偏枯的疾病",D,100-中醫基礎醫學（一）（包括中醫醫學史、中醫基礎理論、內經、難經）.csv,
62,"一位35歲女性患者，近一年反覆外感，吃止痛消炎藥及抗生素多，導致近日常常噯氣吞酸，有關其
致病病機之論述，下列何者正確？
(A)寒邪客於脾，脾不能為胃行其津液，故噯氣吞酸
(B)外感之寒邪與新進之飲食皆留滯在胃中，新故相亂，氣并相逆，故噯氣吞酸
(C)寒邪客於胃，厥逆之氣從下而上，故噯氣吞酸
(D)寒飲食入胃，穀入於胃，胃氣上注於肺，肺因而寒，故噯氣吞酸",C,100-中醫基礎醫學（一）（包括中醫醫學史、中醫基礎理論、內經、難經）.csv,
63,"一位30歲女性，吹風則膚癢甚，有關其致病病機之論述，下列何者正確？
(A)其風邪入於皮膚之間，其氣外發，使腠理開疏，邪氣與正氣往來流行，故癢
(B)其風邪入於外分肉之間，迫切為沫，使經脈凝澀，正邪交爭，故癢
(C)其風邪入於脈中，則血閉不通，使不通則衛氣來復，邪氣與正氣往來流行，故癢
(D)其風邪入於皮膚之間，使腠理閉而內熱，邪氣往來流行，故癢",A,100-中醫基礎醫學（一）（包括中醫醫學史、中醫基礎理論、內經、難經）.csv,
64,"一位75歲獨居老人，排便困難，多日一行，近日常常忘記剛才做過的事，有關其致病病機之論述，
下列何者正確？
(A)因其腸胃實而厥氣上逆故善忘
(B)因腑氣不通，陽明氣上逆而善忘
(C)因腑氣不通，而營衛氣不得下行而上逆，故善忘
(D)因上氣不足而下氣有餘而善忘
代號：2106
頁次：8－7",D,100-中醫基礎醫學（一）（包括中醫醫學史、中醫基礎理論、內經、難經）.csv,
65,"一位35歲職業婦女，平日生活忙碌，常餓過頭，泛酸胃痛，晚上會因胃不舒而醒過來，但不打呼。
有關其致病病機之相關論述，下列何者正確？
(A)此因三陽脈逆，不得從其道，故不得臥 (B)此因氣道濇，衛氣衰少而臥不安
(C)此因陽明脈逆，不得從其道，故不得臥 (D)此因氣血衰，衛氣衰少而臥不安",C,100-中醫基礎醫學（一）（包括中醫醫學史、中醫基礎理論、內經、難經）.csv,
66,"有關癰與疽的差異與鑑別診斷，下列何者正確？
(A)疽者，其寒氣下陷肌膚，筋髓枯，內連五臟，血氣竭
(B)癰者，其熱勝腐肉成膿，但不會內陷骨髓
(C)疽者，其寒氣稽留於經脈之中，熱勝腐肉成膿，不內陷骨髓
(D)癰者，其熱勝腐肉成膿，其癰下，筋骨良肉皆無餘",B,100-中醫基礎醫學（一）（包括中醫醫學史、中醫基礎理論、內經、難經）.csv,
67,"若病患出現腹脹與腹筋起，依《靈樞．水脹篇》所記載，下列何者正確？
(A)為疝氣之候，氣虛下陷時易出現
(B)為膚脹之候，易出現腹大身盡腫，皮厚，腹色不變
(C)為鼓脹之候，易出現色蒼黃
(D)為疝氣之候，老人與嬰幼兒易出現",C,100-中醫基礎醫學（一）（包括中醫醫學史、中醫基礎理論、內經、難經）.csv,
68,"一位50歲肥胖婦人，近日常覺口中甘甜，溲多沫，善飢。有關其致病病機之相關論述，下列何者正
確？
(A)此乃多食甘美而多肥者，肥者令人內熱，甘者令人中滿，故其氣下泄
(B)五味入口，藏於胃，脾為之行其精氣，津液在脾，故令人口甘
(C)肝鬱脾虛，氣鬱中焦，胃氣上溢，故令人口甘
(D)此乃氣聚於脾中不得散，熱盛於中，內熱而溺赤，轉為消渴",B,100-中醫基礎醫學（一）（包括中醫醫學史、中醫基礎理論、內經、難經）.csv,
69,"一位50歲男性病人，平日酗酒，此次黃疸、腹脹滿、發燒入院後昏迷五日，手足溫，診斷為胰臟炎
併發敗血性休克，有關其致病病機之相關論述，下列何者正確？
(A)酒入於胃，則絡脈滿而經脈虛，脾主為胃行其津液者也，陽氣虛則邪氣入，精氣不得營於四肢所致
(B)酒入於胃，則經脈滿而絡脈虛，脾主為胃行其津液者也，陽氣虛則邪氣入，精氣不得營於四肢所致
(C)酒入於胃，則經脈滿而絡脈虛，脾主為胃行其津液者也，陰氣虛則陽氣入，陽氣入則胃不和，精
氣不得營於四肢所致
(D)酒入於胃，則絡脈滿而經脈虛，脾主為胃行其津液者也，陰氣虛則陽氣入，陽氣入則胃不和，精
氣不得營於四肢所致",D,100-中醫基礎醫學（一）（包括中醫醫學史、中醫基礎理論、內經、難經）.csv,
70,"有關痹證的症狀敘述，下列何者正確？
(A)痹在於筋則縱 (B)痹在於骨則拘 (C)痹在於皮則寒 (D)痹在於肉則燥",C,100-中醫基礎醫學（一）（包括中醫醫學史、中醫基礎理論、內經、難經）.csv,
71,"一位68歲女性，有糖尿病和高血壓，規律服西藥中，每逢寒流則全身酸痛，夜甚。有關其致病病機
之相關論述，下列何者較正確？
(A)此風寒濕氣客於經脈之間，無關乎大絡之脈
(B)此風寒濕氣客於經脈之中而痛，痛則神歸之，神歸之則寒，寒則為厥，厥則他痹發
(C)此風寒濕氣客於經脈之間，皆為實證，故針而瀉之
(D)此風寒濕氣客於外分肉之間，迫切為沫，沫得寒則聚，排分肉而痛
代號：2106
頁次：8－8",D,100-中醫基礎醫學（一）（包括中醫醫學史、中醫基礎理論、內經、難經）.csv,
72,"有關外感病人洒然而寒之病機論述，下列何者正確？
(A)因風氣藏於皮膚之間，腠理閉而發冷
(B)因風氣藏於皮膚之間，腠理開而發冷
(C)因風氣與太陽俱入，循諸脈俞，散於分肉之間，與衛氣相干而發冷
(D)因風氣與太陽俱入，循諸脈俞，散於分肉之間，衛氣有所凝而不行而發冷",B,100-中醫基礎醫學（一）（包括中醫醫學史、中醫基礎理論、內經、難經）.csv,
73,"一位40歲先天性糖尿病女性患者，外感二日後，面部及足皆水腫，言語不利，針刺之後五天，目下
腫，身重難以行，月事不來，煩而不能食，不能正躺，正躺則咳，有關其致病病機，下列何者正確？
(A)因氣上迫肺，心氣不得下通，故月事不來
(B)不能正躺是因為膈下有水氣
(C)此為風水病誤刺而轉為腎風
(D)此為支飲",A,100-中醫基礎醫學（一）（包括中醫醫學史、中醫基礎理論、內經、難經）.csv,
74,"一位50歲女性患者，兩天前不慎吹風導致頭項痛，身熱，目痛鼻乾不得臥，脈數，發燒到38.5°C，
有關其可能之致病病機及治則，下列何者正確？
(A)此時已入陽明症，可用瀉法 (B)此乃兩感於寒，太陽與陽明俱病
(C)此時宜用汗法治療 (D)此乃病溫，非風寒所致",C,100-中醫基礎醫學（一）（包括中醫醫學史、中醫基礎理論、內經、難經）.csv,
75,"關於中醫攝生的觀念，下列何者錯誤？
(A)飲食有節，起居有常，不妄勞作，是攝生論中最重要的實行項目
(B)起居有常，所以養生觀裡，一年四季均應常態，一律雞鳴而起
(C)孫思邈攝生咏：「勿使悲觀極，常令飲食均，…若要無百病，常當節五辛。」是養生致中和的精神
(D)注重調攝精神的心理衛生「恬憺虛無，真氣從之，精神內守，病安從來。」",B,100-中醫基礎醫學（一）（包括中醫醫學史、中醫基礎理論、內經、難經）.csv,
76,"平常飲食口味太過，會引起臟腑功能的虛損，依《素問．生氣通天論》所記載，若喜歡飲食過辛的
食物，則下列何者正確？
(A)會傷及脾胃的運化 (B)會產生肺氣不足與喘滿的症狀
(C)精神與筋脈都會被影響 (D)會產生筋脈拘緊與疼痛",C,100-中醫基礎醫學（一）（包括中醫醫學史、中醫基礎理論、內經、難經）.csv,
77,"下列有關氣之論述，何者正確？
(A)氣之主為肺 (B)氣之根為脾 (C)氣血生化之源為腎 (D)元氣之別使為心包",A,100-中醫基礎醫學（一）（包括中醫醫學史、中醫基礎理論、內經、難經）.csv,
78,"依《素問．上古天真論篇》所記載，關於腎氣與男性生命活動的表現，下列何者正確？
(A)16歲會表現真牙生 (B)48歲會表現髮墮齒槁
(C)32歲會表現肌肉壯 (D)24歲會表現天癸至",C,100-中醫基礎醫學（一）（包括中醫醫學史、中醫基礎理論、內經、難經）.csv,
79,"下列何醫家率先歸納出溫病發展的衛氣營血等四階段？
(A)薛雪 (B)吳鞠通 (C)王孟英 (D)葉天士",D,100-中醫基礎醫學（一）（包括中醫醫學史、中醫基礎理論、內經、難經）.csv,
80,"根據《史記》和《淮南子》，中醫藥的起始源自於下列何者？
(A)巫 (B)聖人 (C)本能 (D)實踐",B,100-中醫基礎醫學（一）（包括中醫醫學史、中醫基礎理論、內經、難經）.csv,
