num,question,answer,filename
38,"有關經外奇穴之敘述，下列何者正確？
(A)痞根穴在第2腰椎棘狀突起下方，旁開3寸5分
(B)竹杖穴在第3腰椎棘突上方，即督脈命門穴
(C)腰眼穴在第3腰椎棘狀突起下方，旁開3寸5分
(D)腎脊穴在第3腰椎棘突下，旁開5分或1寸處",B,104-中醫臨床醫學（四）（包括針灸科學）.csv
39,"若研究胸部穴位針刺安全深度，針刺下列何穴位相較於其他穴位安全？
(A)玉堂 (B)靈墟 (C)膺窗 (D)天谿",A,104-中醫臨床醫學（四）（包括針灸科學）.csv
40,"四花穴即為下列何穴之總稱？
(A)合谷、太衝 (B)膽俞、膈俞 (C)四縫、鬼眼 (D)八風、八邪
代號：4102
頁次：8－5",B,104-中醫臨床醫學（四）（包括針灸科學）.csv
41,"用三稜針緩慢地刺入已消毒的較細的淺靜脈，使少量出血，然後用消毒乾棉球按壓止血，係屬於下
列何種刺法？
(A)腧穴點刺 (B)刺絡 (C)散刺 (D)挑刺",B,104-中醫臨床醫學（四）（包括針灸科學）.csv
42,"下列關於進針手法之敘述，何者錯誤？
(A)押手重而多按，可令氣散，進針不易痛 (B)舒張進針，主要用於皮膚鬆弛部位之腧穴
(C)夾持進針，適用於長針進針 (D)提捏進針，常用於中渚穴",D,104-中醫臨床醫學（四）（包括針灸科學）.csv
43,"下列敘述那些錯誤？①上病下取，繆刺 ②痛在左而右脈病者，巨刺之 ③痛在左而右脈病，遠道刺
④淺內而疾發針，半刺
(A)①② (B)①③ (C)②③ (D)②④",B,104-中醫臨床醫學（四）（包括針灸科學）.csv
44,"根據現今的針灸研究發現，得氣深度大部分位於那一個部位？
(A)表皮層 (B)真皮層 (C)皮下組織層 (D)肌肉層",D,104-中醫臨床醫學（四）（包括針灸科學）.csv
45,"頭針療法中，下列那個刺激區主治命名性失語？
(A)言語一區 (B)言語二區 (C)言語三區 (D)運動區的上五分之一",B,104-中醫臨床醫學（四）（包括針灸科學）.csv
46,"耳穴中，相應下消化道、腎、膀胱之部位，位於下列那一區？
(A)對耳屏 (B)耳甲腔 (C)耳甲艇 (D)耳屏",C,104-中醫臨床醫學（四）（包括針灸科學）.csv
47,"患者因腦部受傷導致右手癱瘓，若頭皮針治療可考慮下列何區？
(A)右側運動區上五分之一 (B)右側運動區下五分之二
(C)左側運動區中五分之二 (D)左側運動區下五分之二",C,104-中醫臨床醫學（四）（包括針灸科學）.csv
48,"下列何種天灸材料，貼敷在湧泉穴，可以用來治療不明原因的流鼻血？
(A)毛茛 (B)白芥子 (C)斑蟊 (D)蒜泥",D,104-中醫臨床醫學（四）（包括針灸科學）.csv
49,"清代雍正年間有專門刊本流傳的間接灸法名稱為何？
(A)太乙神針 (B)隔薑灸 (C)天灸 (D)雷火神針",A,104-中醫臨床醫學（四）（包括針灸科學）.csv
50,"下列何種灸法最適合用來治療腎火虛衰、瘡毒潰瘍、氣血俱虛？
(A)隔蒜灸 (B)艾炷灸 (C)豉餅灸 (D)附子灸",D,104-中醫臨床醫學（四）（包括針灸科學）.csv
51,"下列有幾項屬間接灸法？①隔薑灸 ②隔蒜灸 ③附子灸 ④豉餅灸 ⑤豆醬灸 ⑥隔鹽灸
⑦針上灸 ⑧溫灸器
(A)5 (B)6 (C)7 (D)8",D,104-中醫臨床醫學（四）（包括針灸科學）.csv
52,"用於肌肉肥厚的刮拭部位或穴位凹陷處，應使刮痧板與刮拭部位保持多少度，進行點按為宜？
(A)15 (B)45 (C)90 (D)120",C,104-中醫臨床醫學（四）（包括針灸科學）.csv
53,"對於腰痛的患者，拔罐療法最常選用的是下列何穴？
(A)中脘、足三里 (B)志室、氣海俞 (C)大椎、身柱 (D)承山、三陰交
代號：4102
頁次：8－6",B,104-中醫臨床醫學（四）（包括針灸科學）.csv
54,"下列何穴是臨床上針對眼赤腫痛常用的拔罐穴位？
(A)太陽 (B)上關 (C)內關 (D)下關",A,104-中醫臨床醫學（四）（包括針灸科學）.csv
55,"有關刮痧的患者體位，適用於頭面、胸腹部以及四肢的刮拭，下列何種體位最適宜？
(A)俯臥位 (B)側臥位 (C)仰臥位 (D)側伏坐位",C,104-中醫臨床醫學（四）（包括針灸科學）.csv
56,"月經延後，甚至40～50天1次，量少為主症，或伴有小腹發涼、面色蒼白、舌淡、脈沉細，或伴有
血色黯、胸脅乳房發脹、舌苔薄白、脈弦。下列何者較適當？
(A)月經後期主要病機為肝陽上亢致衝任虛損
(B)以膻中、氣海、關元、中極、地機、三陰交、行間等穴為主
(C)針灸治療時機應於月經來時進行
(D)用針刺來治療月經失調，一般選用瀉法",B,104-中醫臨床醫學（四）（包括針灸科學）.csv
57,"子宮脫垂症屬中醫「陰挺」、「陰脫」、「陰突」、「產腸不收」等範疇，其有關診斷及針灸治療
之敘述，下列何者較不適當？
(A)病機脾氣虛弱、中氣下陷，致任帶失提，固陷致脫；也可因腎虛，封藏失職，任帶不固，致滑脫不收
(B)治療子宮脫垂的主要穴位有百會、關元、曲骨、子宮、足三里、腎俞、曲泉、太谿
(C)用耳針來治療子宮脫垂，只可針刺一側，嚴禁針刺雙側
(D)治療子宮脫垂可灸百會、關元、氣海、三陰交等穴",C,104-中醫臨床醫學（四）（包括針灸科學）.csv
58,"功能性子宮出血屬於中醫「崩漏」的範疇，其病機和針灸治療之敘述，下列何者較正確？
(A)其病機有實、寒、瘀等，但發病日久，三者常相互轉化，三者均可導致衝任損傷，不能固攝而成崩漏
(B)血崩下血，或淋漓不絕。若血色淡紅，面色蒼白，身體倦怠，氣短懶言，不思飲食，舌質淡，苔薄白，
脈弱者為氣虛
(C)治療功能性子宮出血的主要穴位有中脘、內庭
(D)功能性子宮出血，是指經婦科檢查後，發現有器質性病變，且發生不正常出血現象",B,104-中醫臨床醫學（四）（包括針灸科學）.csv
59,"應用耳穴按壓輔助戒菸治療之常用耳穴，下列何者最不適合？
(A)耳神門 (B)口點 (C)皮質下 (D)肝點",D,104-中醫臨床醫學（四）（包括針灸科學）.csv
60,"關於膽石症的敘述，下列何者錯誤？
(A)膽石症之病因病機與痰瘀阻滯，氣機不暢有關
(B)治療上多選擇至陰、陰陵泉、外關等穴，治法則以灸法來加強療效
(C)大部分膽石症不會有症狀
(D)疼痛有時會傳至右側肩胛骨或後背處",B,104-中醫臨床醫學（四）（包括針灸科學）.csv
61,"針灸治療脫肛，下列相關敘述有幾項正確？①屬於中氣下陷證者，可先針兩側承山穴 ②屬於濕熱
蘊蓄證者，可先針兩側承山穴 ③針灸百會有提肛之作用 ④以隔鹽灸神闕穴加強治療脫肛
(A)1 (B)2 (C)3 (D)4
代號：4102
頁次：8－7",D,104-中醫臨床醫學（四）（包括針灸科學）.csv
62,"哮喘病患其喘促症狀甚者，可用針刺治療以降氣平喘，下列何穴最不適合？
(A)定喘 (B)外關 (C)膻中 (D)天突",B,104-中醫臨床醫學（四）（包括針灸科學）.csv
63,"下列共有幾穴可治療痔瘡？①會陽 ②承山 ③養老 ④光明 ⑤二白 ⑥次髎 ⑦長強
(A)4 (B)5 (C)6 (D)7",B,104-中醫臨床醫學（四）（包括針灸科學）.csv
64,"常用來治療頭痛的穴位中，關於風池、合谷、列缺、後谿等穴，下列敘述何者錯誤？
(A)風池為手足少陽與陽蹻脈之會穴，善治膽經頭痛
(B)合谷屬手陽明經，面口合谷收，其經脈上循於頭面部
(C)列缺為手太陰經絡穴，與合谷穴原絡相配，是治療頭面疼痛的主穴
(D)後谿屬手太陽經，通督脈，主治頭項疼痛",A,104-中醫臨床醫學（四）（包括針灸科學）.csv
65,"有關慢性腎病針灸治療之敘述，下列選項何者較適當？①主要穴位可選腎俞、脾俞、太谿、足三里、
三陰交 ②灸法治療可選用腎俞、脾俞、三焦俞、水分 ③癌症末期患者，經放射療法，出現小便
不利的現象，可灸百會、湧泉 ④癌症末期患者，經化學療法，出現小便不利的現象，可針刺合谷、
手三里、陽陵泉
(A)①② (B)①③ (C)②④ (D)③④",A,104-中醫臨床醫學（四）（包括針灸科學）.csv
66,"某一臟器有病，在臟器所在部位附近，同時取穴，可以加強療效。下列敘述何者正確？
(A)內外相透法，肺病取中府、肺俞 (B)前後呼應法，腎病取金門、腎俞
(C)內外相透法，膽病取日月、膽俞 (D)前後呼應法，肝病取期門、肝俞",D,104-中醫臨床醫學（四）（包括針灸科學）.csv
67,"夏日炎炎，18 歲男性患者昨日開一整晚冷氣睡覺，今日早上發現頸項活動受限，並且有明顯壓痛，
下列針灸處置之敘述有幾項正確？①取督脈、手足太陽經穴為主 ②取大椎、天柱、肩外俞、懸鍾、
後谿等穴，針用瀉法，針後加灸，以達祛風散寒、舒筋活絡之功 ③不能左右回顧，可配委中、列缺
④如不能前後俯仰，加取支正以疏導太陽經氣 ⑤可在患部附近穴上施用火罐
(A)1 (B)2 (C)3 (D)4",C,104-中醫臨床醫學（四）（包括針灸科學）.csv
68,"關於濕疹之治療，下列敘述何者錯誤？
(A)曲池、合谷穴同用，可宣氣行血，清頭面風熱止癢
(B)督脈的百會穴，是諸陽之會，針刺能疏邪解熱
(C)風邪鬱表之濕疹，若夾濕起皰，加選陰陵泉
(D)肝俞、期門，針刺能疏肝，針而灸之能補益肝血",B,104-中醫臨床醫學（四）（包括針灸科學）.csv
69,"關於治療顏面神經麻痹之選用穴位，下列敘述何者錯誤？
(A)地倉係足陽明經、手陽明經與陽蹻脈之會穴
(B)絲竹空係手太陽經與足陽明經脈氣所發
(C)聽會在耳前小瓣之下，口閉時當下頷骨之後緣
(D)陽白屬足少陽經，《針灸甲乙經》記載：在眉上1寸，直瞳子
代號：4102
頁次：8－8",B,104-中醫臨床醫學（四）（包括針灸科學）.csv
70,"子宮脫垂主因為素體虛弱，氣虛下陷，選用任督二脈之經穴治療，下列何者最不適合？
(A)腰俞 (B)建里 (C)水道 (D)神道",C,104-中醫臨床醫學（四）（包括針灸科學）.csv
71,"55 歲男性鼻流濁涕色黃腥穢，鼻塞，頭昏，記憶力衰退，已經十餘年。若使用針灸治療，所選用之
主要經穴不包括下列何者？
(A)列缺、合谷 (B)迎香、鼻通 (C)印堂、風池 (D)內關、神門",D,104-中醫臨床醫學（四）（包括針灸科學）.csv
72,"有關便秘的針灸治療，下列敍述何者錯誤？
(A)辨證可分實秘和虛秘兩類 (B)針灸取大腸經俞、募穴及下合穴為主
(C)氣滯可配肝俞、心俞扶助中氣 (D)熱結可配合谷、曲池",C,104-中醫臨床醫學（四）（包括針灸科學）.csv
73,"腦中風脫證急救時，下列何者最不常用？
(A)急灸氣海、關元 (B)急灸合谷、太衝 (C)急灸百會、湧泉 (D)急灸百會、關元",B,104-中醫臨床醫學（四）（包括針灸科學）.csv
74,"下列何穴治療腰痛最適當？
(A)曲池 (B)合谷 (C)後谿 (D)太衝",C,104-中醫臨床醫學（四）（包括針灸科學）.csv
75,"關於顏面神經麻痺，下列敘述何者錯誤？
(A)取穴以手足太陰經為主
(B)臨床表現為一側面部麻木、鬆弛，不能做蹙額、皺眉等動作，口角向健側歪斜，病側露睛流淚，
額紋消失，鼻唇溝平坦
(C)疾病初起針刺不宜用強刺激
(D)治法為祛風散寒，通經活絡",A,104-中醫臨床醫學（四）（包括針灸科學）.csv
76,"治療顳頭痛可選下列何組穴位處方？①風池 ②百會 ③太陽 ④太衝 ⑤上星 ⑥攢竹 ⑦外關
⑧丘墟
(A)①②⑤⑥ (B)①③⑦⑧ (C)②③④⑤ (D)④⑤⑥⑧",B,104-中醫臨床醫學（四）（包括針灸科學）.csv
77,"下列何病之治療宜先針內關穴？
(A)黃疸 (B)鼻炎 (C)齒痛 (D)便血",A,104-中醫臨床醫學（四）（包括針灸科學）.csv
78,"關於泄瀉的敘述，下列那些選項最不適當？①類癌腫瘤是常見的非感染性腹瀉病因 ②濕熱泄瀉型
在治療上可加灸命門 ③每於黎明之前腹中微痛，痛即泄瀉，是為五更瀉 ④隔鹽灸大腸俞，可溫
腎壯陽
(A)①④ (B)③④ (C)②④ (D)①③",C,104-中醫臨床醫學（四）（包括針灸科學）.csv
79,"下列有關怔忡之針灸療法敘述，何者最不適當？
(A)針陽池、腕骨 (B)針心俞、膽俞 (C)針神門、通里 (D)灸巨闕、關元",A,104-中醫臨床醫學（四）（包括針灸科學）.csv
80,"某60歲女性患者主訴背痛項強、腰似折、頸似拔，最常取下列何穴治療？
(A)足臨泣 (B)束骨 (C)養老 (D)豐隆",B,104-中醫臨床醫學（四）（包括針灸科學）.csv
1,"依《傷寒論》所述，發汗後，腹脹滿者，宜治以下列何方？
(A)半夏瀉心湯 (B)理中湯
(C)厚朴生薑半夏甘草人參湯 (D)小建中湯",C,105-中醫臨床醫學（一）（包括傷寒論（學）、溫病學、金匱要略、中醫證治學、中醫診斷學）.csv
2,"依《傷寒論》所述，宜瓜蒂散的證候，下列何者正確？①寸脈微浮 ②胸中痞鞕 ③病如桂枝證，
頭項強痛 ④氣上衝喉咽不得息
(A)①①① (B)①①① (C)①①① (D)①①①",D,105-中醫臨床醫學（一）（包括傷寒論（學）、溫病學、金匱要略、中醫證治學、中醫診斷學）.csv
3,"依《傷寒論》，有關炙甘草湯的敘述，下列何者正確？
(A)組方中乾薑配桂枝能溫通血脈 (B)可應用於陰陽兩虛的心悸症
(C)與醋、水共煎 (D)阿膠共煎",B,105-中醫臨床醫學（一）（包括傷寒論（學）、溫病學、金匱要略、中醫證治學、中醫診斷學）.csv
4,"依《傷寒論》所述，「傷寒大下後，復發汗，心下痞，惡寒者，表未解也。不可攻痞，當先解表，
表解乃可攻痞，解表宜桂枝湯」，攻痞以下列何方最適宜？
(A)大黃黃連瀉心湯 (B)生薑瀉心湯 (C)半夏瀉心湯 (D)甘草瀉心湯",A,105-中醫臨床醫學（一）（包括傷寒論（學）、溫病學、金匱要略、中醫證治學、中醫診斷學）.csv
5,"黃先生曾服過瀉下藥物，引起心下痞，給予瀉心湯，其痞不解，今自訴口乾燥而渴、心煩，小便不
利，治以下列何方最適宜？
(A)豬苓湯 (B)桂枝去桂加茯苓白朮湯
(C)白虎加人參湯 (D)五苓散",D,105-中醫臨床醫學（一）（包括傷寒論（學）、溫病學、金匱要略、中醫證治學、中醫診斷學）.csv
6,"依《傷寒論》，太陽中風證的病理，下列敘述那些正確？①風寒外束肌表 ②衛陽浮盛以抗邪 ③衛外
不固，營不內守 ④衛陽被遏，正邪交爭
(A)①①① (B)①①① (C)①①① (D)①①①",A,105-中醫臨床醫學（一）（包括傷寒論（學）、溫病學、金匱要略、中醫證治學、中醫診斷學）.csv
7,"依《傷寒論》，有關桂枝加芍藥生薑各一兩人參三兩新加湯之敘述，下列那些正確？①發汗太過 ②身疼
痛 ③脈浮弱 ④屬衛氣不和兼氣營不足之證
(A)①①①① (B)僅①① (C)僅①① (D)僅①①①",D,105-中醫臨床醫學（一）（包括傷寒論（學）、溫病學、金匱要略、中醫證治學、中醫診斷學）.csv
8,"依《傷寒論》，下列有關乾薑附子湯證及茯苓四逆湯證之敘述，何者最不適當？
(A)茯苓四逆湯證晝日煩躁，夜間安靜 (B)乾薑附子湯證其脈沈微
(C)乾薑附子湯煎煮後，頓服 (D)茯苓四逆湯中茯苓健脾寧心安神
代號：1102
頁次：8－2",A,105-中醫臨床醫學（一）（包括傷寒論（學）、溫病學、金匱要略、中醫證治學、中醫診斷學）.csv
9,"依《傷寒論》所述，大承氣湯證之使用，下列何者不適宜？
(A)陽明病，腹滿不減，減不足言 (B)陽明病，譫語，發潮熱，脈滑而疾者
(C)陽明病，發熱，汗多者，急下之 (D)陽明病，下之，心中懊憹而煩，胃中有燥屎者",B,105-中醫臨床醫學（一）（包括傷寒論（學）、溫病學、金匱要略、中醫證治學、中醫診斷學）.csv
10,"依《傷寒論》，為何陽明病有得之一日，不發熱而惡寒者，下列敘述何者最正確？
(A)惡寒將自罷 (B)自汗出而惡風 (C)汗自出而惡寒 (D)陽明惡寒久候",A,105-中醫臨床醫學（一）（包括傷寒論（學）、溫病學、金匱要略、中醫證治學、中醫診斷學）.csv
11,"依《傷寒論》，太陽病誤治，傷津致熱結成實之敘述，下列何者錯誤？
(A)太陽病，若吐，若下，若發汗，津液受傷表邪入裡
(B)燥實內結，氣機阻滯，故大便硬
(C)可用五苓散祛邪熱
(D)可用小承氣湯下邪熱燥結",C,105-中醫臨床醫學（一）（包括傷寒論（學）、溫病學、金匱要略、中醫證治學、中醫診斷學）.csv
12,"依《傷寒論‧陽明病脈證并治》所述，有關豬苓湯，下列何者正確？①陽明病下後津傷，陽明餘熱
猶存 ②小便不利是水熱結於下焦 ③脈浮發熱，渴欲飲水，小便不利 ④豬苓湯組成：桂枝、白
朮、茯苓、澤瀉、豬苓
(A)①①① (B)①①① (C)①①① (D)①①①①",A,105-中醫臨床醫學（一）（包括傷寒論（學）、溫病學、金匱要略、中醫證治學、中醫診斷學）.csv
13,"依《傷寒論》所述，「傷寒，本自寒下，醫復吐下之，寒格，更逆吐下」，若食入口即吐者，主方
為下列何方？
(A)白通湯 (B)乾薑黃連黃芩人參湯 (C)白通加豬膽汁湯 (D)桂枝湯加人參湯",B,105-中醫臨床醫學（一）（包括傷寒論（學）、溫病學、金匱要略、中醫證治學、中醫診斷學）.csv
14,"依《傷寒論》所述：「太陰之為病，腹滿而吐，食不下，自利益甚，時腹自痛」。若下之，則會產
生下列何種症狀？
(A)四肢逆冷 (B)胸脅苦滿口苦 (C)頭痛發熱汗出 (D)胸下結鞕",D,105-中醫臨床醫學（一）（包括傷寒論（學）、溫病學、金匱要略、中醫證治學、中醫診斷學）.csv
15,"依《傷寒論》，少陰病有從寒化證有從熱化證，下列何者較不會出現在少陰寒化證？
(A)但欲寐及無熱惡寒 (B)下利清穀 (C)脈浮舌上苔黃者 (D)小便清白",C,105-中醫臨床醫學（一）（包括傷寒論（學）、溫病學、金匱要略、中醫證治學、中醫診斷學）.csv
16,"依《傷寒論》所述，太陽病誤下，症見腹滿時痛或大實痛，診其脈弱，其人續自便利，設當行大黃、
芍藥者，宜減之，請問其因為何？
(A)雖為表裏俱實，但表實為重，恐引邪入裏 (B)表裏俱虛，恐復傷其陽氣
(C)雖為陽明裏實，但表陽虛衰 (D)胃氣弱，大便易於動利",D,105-中醫臨床醫學（一）（包括傷寒論（學）、溫病學、金匱要略、中醫證治學、中醫診斷學）.csv
17,"病程中都有中焦氣機失暢證，容易遏傷陽氣，病末還能發生陽氣衰微，而見肢冷、畏寒、浮腫、小
便清長、脈細微…等之溫邪為下列何者？
(A)暑熱 (B)濕熱 (C)燥熱 (D)風熱",B,105-中醫臨床醫學（一）（包括傷寒論（學）、溫病學、金匱要略、中醫證治學、中醫診斷學）.csv
18,"益胃湯之藥物組成無下列何者？
(A)麥冬 (B)玉竹 (C)生地 (D)花粉",D,105-中醫臨床醫學（一）（包括傷寒論（學）、溫病學、金匱要略、中醫證治學、中醫診斷學）.csv
19,"下列何者屬新感引動伏邪的溫病？
(A)風溫 (B)春溫 (C)秋燥 (D)冬溫
代號：1102
頁次：8－3",B,105-中醫臨床醫學（一）（包括傷寒論（學）、溫病學、金匱要略、中醫證治學、中醫診斷學）.csv
20,"有關廣義傷寒之定義，下列何者正確？
(A)一切外感熱病的總稱 (B)一切外感寒病的總稱
(C)溫熱外感溫病的總稱 (D)濕熱外感溫病的總稱",A,105-中醫臨床醫學（一）（包括傷寒論（學）、溫病學、金匱要略、中醫證治學、中醫診斷學）.csv
21,"《內經》對「風淫於內」的治則，下列何者正確？
(A)治以鹹寒，佐以甘苦 (B)治以辛涼，佐以苦甘
(C)以苦寒攻下 (D)以濡潤下",B,105-中醫臨床醫學（一）（包括傷寒論（學）、溫病學、金匱要略、中醫證治學、中醫診斷學）.csv
22,"風溫證邪在衛分，治療方劑有銀翹散、桑菊飲，關於二方的敘述，下列那些最正確？①銀翹散多用
輕清透熱之品，解表開鬱之力不強，以肺氣不降為主 ②吳鞠通謂：「治上焦如羽，非輕不舉。」
銀翹散取輕清宣透之品以清宣肺衛之邪 ③但咳，身不甚熱，口微渴，桑菊飲主之 ④吳鞠通稱桑
菊飲為辛涼平劑
(A)①① (B)①① (C)①① (D)①①",C,105-中醫臨床醫學（一）（包括傷寒論（學）、溫病學、金匱要略、中醫證治學、中醫診斷學）.csv
23,"三甲復脈湯，乃加減復脈湯加下列那三味藥所組成？①龍骨 ②牡蠣 ③鱉甲 ④龜板
(A)①①① (B)①①① (C)①①① (D)①①①",D,105-中醫臨床醫學（一）（包括傷寒論（學）、溫病學、金匱要略、中醫證治學、中醫診斷學）.csv
24,"溫病「三寶」擅治溫熱病竅閉神昏之證，下列何者最擅長於開竅醒神？
(A)至寶丹 (B)紫雪丹 (C)清宮湯 (D)安宮牛黃丸",A,105-中醫臨床醫學（一）（包括傷寒論（學）、溫病學、金匱要略、中醫證治學、中醫診斷學）.csv
25,"有關吳又可論治溫疫「逐邪勿拘結糞」之敘述，下列何者錯誤？
(A)達原飲加大黃為開門祛賊之法，即使未愈，邪亦不能久羈
(B)大凡客邪，貴乎早逐，乘人氣血未亂，肌肉未消，津液未耗，投劑不至掣肘，愈後亦易平復
(C)吳氏以經枯血燥及老人血液衰少為例說明燥結不致損人
(D)提出「承氣本為結糞而設，非專為逐邪而設」",D,105-中醫臨床醫學（一）（包括傷寒論（學）、溫病學、金匱要略、中醫證治學、中醫診斷學）.csv
26,"有關暑濕困阻中焦與暑濕瀰漫三焦的比較，下列敘述何者錯誤？
(A)兩者皆是暑溫兼濕，濕重熱輕之候
(B)暑濕困阻中焦，治以白虎加蒼朮湯
(C)暑濕瀰漫三焦，治以三石湯
(D)暑濕瀰漫三焦，口渴脘痞為中焦見證；胸悶耳聾乃上焦見證；下利稀水、小溲短赤為下焦見證",A,105-中醫臨床醫學（一）（包括傷寒論（學）、溫病學、金匱要略、中醫證治學、中醫診斷學）.csv
27,"治療溫病津氣大虛，化源欲竭的方劑，下列何者最適宜？
(A)參附龍牡湯 (B)生脈散 (C)白虎加人參湯 (D)連梅湯",B,105-中醫臨床醫學（一）（包括傷寒論（學）、溫病學、金匱要略、中醫證治學、中醫診斷學）.csv
28,"有關溫疫的敘述，下列何者錯誤？
(A)依《疫疹一得》所論，為濕熱穢濁之疫 (B)發病急劇，病情險惡
(C)有強烈的傳染性，能引起大的流行 (D)就其性質而言，有濕熱疫與暑燥疫等之分",A,105-中醫臨床醫學（一）（包括傷寒論（學）、溫病學、金匱要略、中醫證治學、中醫診斷學）.csv
29,"下列何者不屬於濕溫初起治則的三大禁忌？
(A)辛溫發汗 (B)芳香宣化 (C)苦寒攻下 (D)滋補陰液",B,105-中醫臨床醫學（一）（包括傷寒論（學）、溫病學、金匱要略、中醫證治學、中醫診斷學）.csv
30,"下列何者為濕溫發病的條件？
(A)感天地之癘氣 (B)陰精先虧，外感溫熱病邪
(C)暑熱亢盛，貪涼飲冷 (D)內不能運水穀之濕，外復感時令之濕
代號：1102
頁次：8－4",D,105-中醫臨床醫學（一）（包括傷寒論（學）、溫病學、金匱要略、中醫證治學、中醫診斷學）.csv
31,"濕溫，症見寒熱往來如瘧狀，寒甚熱微，身痛有汗，手足沉重，嘔逆脹滿，舌苔白厚而膩濁，脈緩
等，其病機為下列何者？
(A)濕邪外侵，衛陽不固 (B)濕重兼穢濁，鬱遏陽氣
(C)濕邪留戀，損傷陽氣 (D)濕熱蘊阻中焦脾胃",B,105-中醫臨床醫學（一）（包括傷寒論（學）、溫病學、金匱要略、中醫證治學、中醫診斷學）.csv
32,"有關伏暑初發於氣分證治之敘述，下列何者錯誤？
(A)為外有表邪而內有暑濕之證候，治宜解表清暑化濕
(B)若表寒較甚，宜治以四物香薷飲
(C)若表寒不明顯，宜治以《溫病條辨》銀翹散加杏仁、滑石、苡仁、通草
(D)與春溫初起發於氣分者之鑑別，在於表證不同而裏證相似",D,105-中醫臨床醫學（一）（包括傷寒論（學）、溫病學、金匱要略、中醫證治學、中醫診斷學）.csv
33,"依《金匱要略》所述，柔痙宜治以下列何方？
(A)桂枝湯 (B)栝蔞桂枝湯 (C)葛根湯 (D)大承氣湯",B,105-中醫臨床醫學（一）（包括傷寒論（學）、溫病學、金匱要略、中醫證治學、中醫診斷學）.csv
34,"依《金匱要略》所述，肺痿病的主要症狀表現，下列何者正確？
(A)口中有濁唾涎沫 (B)口中辟辟燥，咳即胸中隱隱痛
(C)咳吐膿血，形如米粥 (D)咳而喉中水雞聲",A,105-中醫臨床醫學（一）（包括傷寒論（學）、溫病學、金匱要略、中醫證治學、中醫診斷學）.csv
35,"依《金匱要略》所述：「心中痞，諸逆心懸痛」，治以下列何方最適宜？
(A)枳實薤白桂枝湯 (B)半夏瀉心湯 (C)桂枝生薑枳實湯 (D)薏苡附子散",C,105-中醫臨床醫學（一）（包括傷寒論（學）、溫病學、金匱要略、中醫證治學、中醫診斷學）.csv
36,"《金匱要略‧腹滿寒疝宿食病脈證治》有關宿食之敘述，下列何者錯誤？
(A)脈緊，頭痛風寒，腹中有宿食不化也
(B)脈緊如轉索無常者，有宿食也
(C)下利不欲食者，有宿食也，當下之，宜大承氣湯
(D)宿食在上脘，當吐之，宜梔子豉湯",D,105-中醫臨床醫學（一）（包括傷寒論（學）、溫病學、金匱要略、中醫證治學、中醫診斷學）.csv
37,"依《金匱要略‧水氣病脈證并治》所述，見骨節疼痛，惡風，浮脈等症狀，此屬下列何者？
(A)風水 (B)皮水 (C)正水 (D)石水",A,105-中醫臨床醫學（一）（包括傷寒論（學）、溫病學、金匱要略、中醫證治學、中醫診斷學）.csv
38,"依《金匱要略》所述，下列何者方證的病機與痰飲有關？①厚朴麻黃湯 ②皂莢丸 ③越婢加半夏
湯 ④麥門冬湯
(A)僅①① (B)僅①① (C)①①① (D)①①①",C,105-中醫臨床醫學（一）（包括傷寒論（學）、溫病學、金匱要略、中醫證治學、中醫診斷學）.csv
39,"依《金匱要略》所述：「妊娠養胎」，治以下列何方最適宜？
(A)當歸，生地，芍藥，芎藭
(B)白朮，芎藭，蜀椒，牡蠣
(C)當歸，芍藥，芎藭，茯苓，白朮，澤瀉
(D)芎藭，阿膠，甘草，艾葉，當歸，芍藥，乾地黃",B,105-中醫臨床醫學（一）（包括傷寒論（學）、溫病學、金匱要略、中醫證治學、中醫診斷學）.csv
40,"依《金匱要略》所述，新產婦人有三病，下列敘述何者錯誤？
(A)新產血虛，多汗出，喜中風，故令病痙 (B)亡血復汗，寒多，故令鬱冒
(C)亡血傷津，不能食，故令缺乳 (D)亡津液，胃燥，故大便難
代號：1102
頁次：8－5",C,105-中醫臨床醫學（一）（包括傷寒論（學）、溫病學、金匱要略、中醫證治學、中醫診斷學）.csv
41,"依《金匱要略》所述：「婦人吐涎沫，醫反下之，心下即痞」，治以下列何方最適宜？
(A)當先治其吐涎沫，梔子豉湯主之，涎沫止，乃治痞，瀉心湯主之
(B)當先治其吐涎沫，小青龍湯主之，涎沫止，乃治痞，瀉心湯主之
(C)當先治痞，瀉心湯主之，痞消，乃治其吐涎沫，梔子豉湯主之
(D)當先治痞，瀉心湯主之，痞消，乃治其吐涎沫，小青龍湯主之",B,105-中醫臨床醫學（一）（包括傷寒論（學）、溫病學、金匱要略、中醫證治學、中醫診斷學）.csv
42,"依《金匱要略》所述，有關水飲在五臟，其中水在肝之敘述，下列何者正確？
(A)脅下支滿，嚏而痛 (B)少氣，身重 (C)吐涎沫，欲飲水 (D)短氣，惡水不欲飲",A,105-中醫臨床醫學（一）（包括傷寒論（學）、溫病學、金匱要略、中醫證治學、中醫診斷學）.csv
